date,price
2023-11-22,0.571
2023-11-23,0.5795
2023-11-24,0.5739
2023-11-25,0.5739
2023-11-26,0.5739
2023-11-27,0.557
2023-11-28,0.559
2023-11-29,0.5649
2023-11-30,0.56
2023-12-01,0.5554
2023-12-02,0.5554
2023-12-03,0.5554
2023-12-04,0.5615
2023-12-05,0.562
2023-12-06,0.5556
2023-12-07,0.5549
2023-12-08,0.5542
2023-12-09,0.5542
2023-12-10,0.5542
2023-12-11,0.532
2023-12-12,0.5272
2023-12-13,0.5234
2023-12-14,0.5265
2023-12-15,0.548
2023-12-16,0.548
2023-12-17,0.548
2023-12-18,0.5638
2023-12-19,0.562
2023-12-20,0.595
2023-12-21,0.6299
2023-12-22,0.63
2023-12-23,0.63
2023-12-24,0.63
2023-12-25,0.6255
2023-12-26,0.636
2023-12-27,0.6292
2023-12-28,0.0
2023-12-29,0.639
2023-12-30,0.639
2023-12-31,0.639
2024-01-01,0.639
2024-01-02,0.639
2024-01-03,0.6532
2024-01-04,0.6525
2024-01-05,0.6521
2024-01-06,0.6521
2024-01-07,0.6521
2024-01-08,0.6594
2024-01-09,0.6555
2024-01-10,0.6689
2024-01-11,0.6547
2024-01-12,0.6599
2024-01-13,0.6599
2024-01-14,0.6599
2024-01-15,0.6556
2024-01-16,0.6513
2024-01-17,0.6524
2024-01-18,0.6498
2024-01-19,0.6447
2024-01-20,0.6447
2024-01-21,0.6447
2024-01-22,0.648
2024-01-23,0.6476
2024-01-24,0.6431
2024-01-25,0.63
2024-01-26,0.621
2024-01-27,0.621
2024-01-28,0.621
2024-01-29,0.6459
2024-01-30,0.655
2024-01-31,0.663
2024-02-01,0.679
2024-02-02,0.6844
2024-02-03,0.6844
2024-02-04,0.6844
2024-02-05,0.6725
2024-02-06,0.6713
2024-02-07,0.692
2024-02-08,0.728
2024-02-09,0.7152
2024-02-10,0.7152
2024-02-11,0.7152
2024-02-12,0.7085
2024-02-13,0.743
2024-02-14,0.7372
2024-02-15,0.75
2024-02-16,0.7619
2024-02-17,0.7619
2024-02-18,0.7619
2024-02-19,0.7919
2024-02-20,0.8044
2024-02-21,0.7814
2024-02-22,0.7885
2024-02-23,0.7885
2024-02-24,0.7885
2024-02-25,0.7885
2024-02-26,0.76
2024-02-27,0.7523
2024-02-28,0.743
2024-02-29,0.7632
2024-03-01,0.7646
2024-03-02,0.7646
2024-03-03,0.7646
2024-03-04,0.797
2024-03-05,0.791
2024-03-06,0.7905
2024-03-07,0.0
2024-03-08,0.7878
2024-03-09,0.7878
2024-03-10,0.7878
2024-03-11,0.788
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.7765
2024-03-16,0.7765
2024-03-17,0.7765
2024-03-18,0.7698
2024-03-19,0.7581
2024-03-20,0.7589
2024-03-21,0.7846
